name,latitude,longitude
King Döneria,52.5416966,13.3538217
Harbi Burger,52.5474432,13.3470409
Döner Game,52.5494149,13.354272
Beybaba Döner,52.5433454,13.363999
Kaplan,52.5461326,13.3591332
Lahmacun Kebab Haus,52.5456829,13.357578
Nazar Grillhaus,52.5483558,13.3600261
Gemüse Kebap Servet's,52.545773,13.3586095
Hakiki,52.5458465,13.3606075
Sever Imbiss,52.5444647,13.368744
Unbekannt,52.5081462,13.3743822
X-Berg Kebap,52.4996783,13.3911394
Döner Plus,52.5029252,13.3955132
Mr. Kebab,52.5117059,13.3898377
Prime Kebap,52.5205861,13.3884197
Gala Bistro,52.5037375,13.402962
Döner Point,52.5104947,13.3964109
Yousef,52.5081485,13.3993561
Tadim,52.4997445,13.417808
Nefis Gemüse Kebap,52.5003538,13.4188439
Mis Kebap,52.4982886,13.4182591
Söner,52.4996666,13.4171541
Mustafa Demir's Gemüsekebab,52.5226768,13.4011539
Ali Baba Bistro,52.5227629,13.4084173
Döner Box,52.5110599,13.4167593
Chicken Box,52.5120138,13.4171424
döner Inn,52.5230102,13.4119395
Falafelli,52.5235803,13.4161473
Bistro Grillhaus,52.531206,13.3820059
Kebab Baba,52.5264492,13.388009
Wedding Grillhaus,52.5417003,13.3702188
Lokman Hekim,52.5412247,13.3703217
Tatlises Grill,52.5431736,13.3926145
Bayram Grillhaus,52.5390835,13.3950256
Döner Center,52.5500096,13.3869449
Greenwood,52.5479741,13.3911896
Tor Kebab,52.5297277,13.4002442
Kebap with Attitude,52.5272448,13.3991334
Kebab Kitchen,52.5244815,13.4031679
Luxa,52.5286587,13.4090078
Prenzl Kebap,52.5345658,13.4157629
Seven Döner,52.5342032,13.421694
K'Ups Gemüse Kebap,52.5398233,13.4113062
Ari's Diner,52.5410315,13.4132143
Cem Grill,52.5406044,13.4166777
Daddy's 100% Steak Kebap,52.5478411,13.4135033
Döner Eck,52.5761723,13.2952951
Merin Grillhaus,52.5679469,13.3126048
Merin Grillhaus,52.5665469,13.3168772
Laventes Grill,52.5888213,13.2847477
Topals Döner Station,52.5886579,13.2885539
Orient Kebap,52.5899494,13.2876863
Zur Kastanie,52.5777425,13.3157014
Heinse Kebap,52.6192254,13.3048367
Spitzen Kebap,52.6326851,13.309871
Gel Doy,52.5519153,13.348905
Döneria,52.553758,13.3457336
Hisar 76,52.5548354,13.3446937
Babas Döner,52.5519284,13.3498171
Adora Döner Kumru,52.5503205,13.3515558
Kebaphaus,52.5514792,13.3677378
Tahir Usta,52.5662558,13.3454255
Femo Döner Burger,52.5736031,13.351427
Irmak Grillhaus,52.5665029,13.3632336
Döner by Cinar,52.5654266,13.3631319
Residenz,52.5730322,13.3590207
Cevdet Usta Grillhaus,52.5952509,13.3353978
Döner Time,52.5957676,13.3332924
First Kebab,52.5958626,13.3359134
Gemüsekebap 77,52.5817377,13.363113
Yilis Döner,52.5813297,13.364074
Majesty Grill,52.5851856,13.3668569
MV FoodCorner,52.5963512,13.3465432
Pia Bistro,52.5968112,13.3538524
Meshegur Inegöl Köfteci,52.553075,13.3795148
ATA Köfte & Kokorec,52.5567773,13.3768138
Volta Grillhaus. Köfte & Tantuni Fisch,52.5598995,13.3794232
Fendi,52.551397,13.3838128
Bahar Imbiss,52.5554987,13.3842982
Berfin Döner Kebap,52.5589857,13.3858739
Üstadin Yeri,52.55787,13.3860523
Paris Döner,52.564205,13.3923153
Adak,52.5529051,13.4056573
Ilayda,52.5514145,13.4136359
Pankow Bistro,52.5689396,13.4035961
Center-Grill,52.5702944,13.403919
Bistro Avci,52.5671599,13.4117047
Kebap 63,52.5678745,13.4123908
DönerKebabHaus,52.5920275,13.3841182
Yaman Kebab,52.5806002,13.4012032
Palast,52.5880316,13.4015214
Nord Bistro,52.6070088,13.3191523
Döner Meile,52.6077191,13.3249358
Titisee Black & White,52.6093446,13.3353598
"Grill Time - Döner, Pizza, Burger",52.6053787,13.3569893
Mustis Quick Kebap,52.6043195,13.3664794
Haydar Baba,52.4175956,13.4379305
Muro Döner Kebap,52.4268714,13.4349794
Deniz Grill & Döner,52.439904,13.4343063
Döner Insel,52.4270067,13.4486107
Ali‘s Gemüse Kebap,52.442002,13.4565194
Haci Baba,52.4324152,13.4622096
Döner & Asia,52.4039095,13.5067054
Asos Grill,52.4023315,13.5257461
Golt'z Kebap,52.4258616,13.4836216
Bistro Mavi Ay,52.3725075,13.615378
Bistro Varna,52.4091449,13.5724481
City Döner,52.4131564,13.5720521
Imbiss - Bernd Schulz,52.4211667,13.5390108
Helin Grillhaus,52.4207048,13.5390519
Döner,52.4332087,13.5354084
Boggi's Gemüse Kebap,52.4375002,13.5473059
Mambo Döner,52.4445574,13.5857809
Schützengrill,52.4409717,13.6014615
Britzer Bistro,52.4529477,13.4382365
Altayeb Grillhaus,52.4697972,13.4297583
7Tepe,52.4684059,13.4310093
Star Bistro Bar,52.4680062,13.4312186
Haci Baba,52.4694126,13.4413955
Lahn-Grill,52.4679284,13.4428419
Wunder Lampe,52.4683374,13.4421118
Rosa Döner,52.4529467,13.4557281
Akis Bistro,52.4691398,13.4672355
Liebe Döner,52.4738695,13.4275869
Bol Köfte,52.4787083,13.4254935
Harran Kebaphaus,52.4796562,13.4252059
Kaplan,52.4786039,13.4260754
Istanbul,52.4786642,13.4255034
